DISCIPL,COMMONNAME,LEGALNAME,ADSTREET,ADSTATE,ADZIP5,PHONE,WEBURL,REVENUE15,LONGITUDE,LATITUDE,GSTREET
HST,ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM,ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM,1410 WATER AVE,AL,36703,3344184889, ,0,-87.01614,32.40797,1410 WATER AVE
HST,JESSE OWENS MUSEUM AND PARK,FRIENDS OF THE JESSE OWENS MUSEUM AND PARK,174 COUNTY ROAD 241,AL,35650,2569743636,HTTP://JESSEOWENSMUSEUM.ORG/WORDPRESS1/,0,-87.2792,34.53612,174 COUNTY ROAD 241
SCI,COOKS NATURAL SCIENCE MUSEUM,COOKS NATURAL SCIENCE MUSEUM,1741 5TH AVENUE SE,AL,35601,2563509347, , ,-86.98293,34.58039,412 13TH ST SE
ART,MUSTANG MUSEUM OF AMERICA,MUSTANG MUSEUM OF AMERICA,10830 AL HIGHWAY 1,AL,35120, , ,0,-86.49679,33.57656,PO BOX 150
SCI,HOMER B WILSON JR VINTAGE MUSEUM,HOMER B WILSON JR VINTAGE MUSEUM,20524 HWY 431N,AL,35976, ,HTTP://HOMERWILSONVINTAGEMUSEUM.ORG,0,-86.2544,34.40105,20524 HWY 431
NAT,MUSANN CORP,MUSANN CORP,PO BOX 1587,AL,36202, , ,74908,-85.82646,33.65842,PO BOX 1587
ZAW,MONTGOMERY AREA ZOOLOGICAL SOCIETY,MONTGOMERY AREA ZOOLOGICAL SOCIETY INC,PO BOX 3242,AL,36109,3342404900,HTTP://WWW.MONTGOMERYZOO.COM/,502005,-86.27306,32.42108,2301 COLISEUM PKWY
SCI,NORTH ALABAMA SCIENCE CENTER,NORTH ALABAMA SCIENCE CENTER INC,102 D WYNN DRIVE,AL,35805,2568374536,HTTPS://SCI-QUEST.ORG/,1406452,-86.69326,34.75149,1435 PARAMOUNT DRIVE
ZAW,MOBILE ZOO,MOBILE ZOO,15161 WARD RD W,AL,36587,2516491845,HTTP://WWW.MOBILEZOO.CC,53441,-88.39683,30.82633,15161 WARD RD W
ZAW,BIRMINGHAM ZOO,BIRMINGHAM ZOO INC,2630 CAHABA RD,AL,35223,2058790409,HTTP://WWW.BIRMINGHAMZOO.COM,8932428,-86.77398,33.48437,2630 CAHABA RD
ART,EASTERN SHORE ART ASSOCIATION,EASTERN SHORE ART ASSN INC,401 OAK AVE,AL,36532,2519282228,HTTP://WWW.ESARTCENTER.COM,487641,-87.90355,30.52659,401 OAK AVE
HST,STURDIVANT HALL MUSEUM,STURDIVANT MUSEUM ASSOCIATION OF SELMA INC,PO BOX 1205,AL,36702,3348725626, ,291156,-87.02827,32.41279,713 MABRY ST
ART,GADSDEN MUSEUM OF FINE ARTS,GADSDEN MUSEMUM OF FINE ARTS INC,515 BROAD STREET,AL,35901,2565467365,HTTP://WWW.GADSDENMUSEUM.COM/,0,-86.00513,34.01391,515 BROAD ST
SCI,EXPLORE CENTER,EXPLORE CENTER INC,PO BOX 1968,AL,36633,2513448066,HTTP://WWW.EXPLOREUM.COM,2185174,-88.10646,30.6708,PO BOX 1968
ZAW,ALABAMA WILDLIFE CENTER,ALABAMA WILDLIFE CENTER,100 TERRACE DR,AL,35124,2056637930,HTTP://WWW.AWRC.ORG,440703,-86.79516,33.32452,100 TERRACE DR
HST,ALABAMA MINING MUSEUM,ALABAMA MINING MUSEUM,120 EAST ST,AL,35062,2056482442, ,62187,-87.09091,33.73169,120 EAST ST
HST,SELMA-DALLAS COUNTY MUSEUM OF HISTORY AND ARCHIVES,SELMA-DALLAS COUNTY MUSEUM OF HISTORY AND ARCHIVES INC,PO BOX 1391,AL,36702,3348742197, ,0,-87.01422,32.40885,4 MARTIN LUTHER KING STREET
ART,COLEMAN CENTER FOR THE ARTS,COLEMAN CENTER FOR THE ARTS,630 AVENUE A ST,AL,36925,2053922005,HTTP://COLEMANARTS.ORG/,199297,-88.29437,32.48383,630 AVENUE A ST
HST,BURRITT MUSEUM,BURRITT MUSEUM ASSOCIATION INC,3101 BURRITT DR SE,AL,35801,2565362882,HTTP://WWW.BURRITTONTHEMOUNTAIN.COM,1252295,-86.53769,34.72003,3101 BURRITT DR SE
HST,SCOTTSBORO JACKSON HERITAGE CENTER ASSOCIATION,SCOTTSBORO JACKSON HERITAGE CENTER ASSOCIATION,PO BOX 53,AL,35768, ,HTTP://WWW.SJHC.US/,86407,-86.03733,34.67179,208 SOUTH HOUSTON STREET
CMU,CHOM INCORPORATED OF TUSCALOOSA COUNTY,CHOM INCORPORATED OF TUSCALOOSA COUNTY,2213 UNIVERSITY BLVD,AL,35401,2053494235,HTTP://WWW.CHOMONLINE.ORG,600563,-87.56584,33.21045,2213 UNIVERSITY BLVD
ART,KENTUCK ART CENTER & MUSEUM,THE KENTUCK MUSEUM ASSOCIATION INC,503 MAIN AVE,AL,35476,2057581257,HTTP://KENTUCK.ORG,445388,-87.57842,33.21904,503 MAIN AVE
ART,WIREGRASS MUSEUM OF ART,THE WIREGRASS MUSEUM OF ART INC,PO BOX 1624,AL,36302,3347943871,HTTP://WWW.WIREGRASSMUSEUM.ORG/,616447,-85.38911,31.22382,126 MUSEUM AVE
ART,CHOCTAW COUNTY HISTORICAL MUSEUM,CHOCTAW COUNTY HISTORICAL MUSEUM INC,2842 ARARAT ROAD,AL,36921,2518432501, ,0,-88.23785,32.11194,1596 TIMBERLANE RD
HST,MARIETTA L JOHNSON MUSEUM,MARIETTA L JOHNSON MUSEUM,10 S SCHOOL ST,AL,36532,2519908601,HTTP://MARIETTAJOHNSON.ORG,0,-87.90081,30.52388,10 S SCHOOL ST
BOT,DOTHAN AREA BOTANICAL GARDENS,DOTHAN AREA BOTANICAL GARDENS INC,5130 HEADLAND AVE,AL,36303,3347933224,HTTP://WWW.DABG.COM,189558,-85.34601,31.28818,5130 HEADLAND AVE
SCI,STATE OF ALABAMA ENGINEERING HALL OF FAME,THE STATE OF ALABAMA ENGINEERING HALL OF FAME,PO BOX 870200,AL,35487, ,HTTP://AEHOF.ENG.UA.EDU/,131481,-87.54712,33.20964,PO BOX 870200
ART,GADSDEN MUSEUM OF ART,GADSDEN MUSEUM OF ART,2829 W MEIGHAN BLVD,AL,35904,2565467365,HTTP://WWW.GADSDENMUSEUM.COM/, ,-86.04895,34.02262,2829 W MEIGHAN BLVD
HST,MONROE COUNTY HERITAGE MUSEUM,MONROE COUNTY HERITAGE MUSEUM INC,PO BOX 1637,AL,36461,2515757433, ,311572,-87.32765,31.51158,31 NORTH ALABAMA AVE
ART,ISABEL ANDERSON COMER MUSEUM & ARTS CENTER,ISABEL ANDERSON COMER MUSEUM & ARTS CENTER,PO BOX 245,AL,35150,2562454016,HTTP://COMERMUSEUM.WEEBLY.COM,40019,-86.25086,33.16453,711 N BROADWAY AVE
HST,ALICEVILLE MUSEUM,ALICEVILLE MUSEUM INC,104 BROAD ST PLAZA,AL,35442,2053732363,HTTP://WWW.ALICEVILLEMUSEUM.ORG/,72827,-88.16462,33.12964,104 BROAD ST PLAZA
HST,TONEY SCHOOL COMMUNITY MUSEUM,TONEY SCHOOL COMMUNITY MUSEUM INC,785 TONEY SCHOOL RD,AL,35773, , ,23566,-86.77529,34.89494,785 TONEY SCHOOL RD
ZAW,ANIMAL HOUSE EXOTIC ANIMALS & OSTRICH FARM,ANIMAL HOUSE EXOTIC ANIMALS,2056 COUNTY ROAD 161,AL,35650,2569748634,HTTP://WWW.ANIMALHOUSE.ORG, ,-87.38741,34.53421,2056 COUNTY ROAD 161
NAT,AMERICAN INDIAN MUSEUM,AMERICAN INDIAN MUSEUM,2003 POOLE DRIVE,AL,35810, , ,0,-86.59152,34.75987,2003 POOLE DR NW
BOT,ALDRIDGE GARDENS,ALDRIDGE GARDENS,3530 LORNA RD,AL,35216,2056828019,HTTP://ALDRIDGEGARDENS.COM/,538889,-86.79432,33.38533,3530 LORNA RD
HST,GULF COAST INTERNATIONAL MUSEUM,GULF COAST INTERNATIONAL MUSEUM INC,PO BOX 204,AL,36601, , ,0,-88.04401,30.69651,PO BOX 204
HST,VULCAN PARK AND MUSEUM,VULCAN PARK FOUNDATION,1701 VALLEY VIEW DR,AL,35209,2059331409,HTTP://VISITVULCAN.COM/,1349832,-86.79686,33.49037,1701 VALLEY VIEW DR
ART,TROY-PIKE CULTURAL ARTS CENTER,TROY-PIKE CULTURAL ARTS CENTER INC,PO BOX 863,AL,36081,3346702287,HTTP://WWW.TPCAC.ORG,217954,-85.97027,31.80862,300 EAST WALNUT STREET
ART,EAST ALABAMA ARTISTS,EAST ALABAMA ARTISTS INCORPORATED,PO BOX 443,AL,36202, , ,0,-85.82646,33.65842,PO BOX 443
HST,MARSHALL COUNTY SPORTS HALL OF FAME,MARSHALL COUNTY SPORTS HALL OF FAME INC,PO BOX 744,AL,35957, ,HTTP://WWW.MCSHOF.ORG/,14523,-86.17222,34.20111,PO BOX 744
HST,HEART OF DIXIE RAILROAD MUSEUM,HEART OF DIXIE RAILROAD MUSEUM INC,PO BOX 727,AL,35040,2056683435,HTTP://WWW.HODRRM.ORG/,1024873,-86.7499,33.1092,1919 9TH ST
HST,NORTH ALABAMA RAILROAD MUSEUM,NORTH ALABAMA RAILROAD MUSEUM INC,PO BOX 4163,AL,35815,2568516276, ,76396,-86.5462,34.78365,694 CHASE RD NE
CMU,CHILDREN'S MUSEUM OF THE SHOALS,CHILDRENS MUSEUM OF THE SHOALS INC,2810 DARBY DR,AL,35630,2567650500,HTTP://SHOALSCHILDRENSMUSEUM.ORG/,88560,-87.64879,34.84045,2810 DARBY DR
HST,COURTLAND HERITAGE MUSEUM,COURTLAND HERITAGE MUSEUM INC,PO BOX 245,AL,35618,2566372710,HTTP://WWW.NORTHALABAMA.ORG/DO,0,-87.31032,34.66655,252 COLLEGE ST
HST,SLOSS FURNACES,SLOSS FURNACES FOUNDATION INC,20 32ND ST N,AL,35222, ,HTTP://SLOSSFURNACES.COM/,375106,-86.78855,33.52109,20 32ND ST N
BOT,MCDOWELL ENVIRONMENTAL CENTER,MCDOWELL ENVIRONMENTAL CENTER,105 DELONG RD,AL,35578,2053871806,HTTP://CAMPMCDOWELL.DIOALA.ORG/, ,-87.38654,34.00155,105 DELONG RD
NAT,SHELDON JACKSON MUSEUM,FRIENDS OF SHELDON JACKSON MUSEUM,104 COLLEGE DRIE,AK,99835,9077478981,HTTP://MUSEUMS.ALASKA.GOV/SHELDON_JACKSON/SJHOME.HTML,49871,-135.32213,57.05064,104 COLLEGE DR
HST,MUSEUM OF ALASKA TRANSPORTATION AND INDUSTRY,MUSEUM OF ALASKA TRANSPORATION AND INDUSTRY INC,3800 W MUSEUM DR,AK,99687,9073761211,HTTP://WWW.MUSEUMOFALASKA.ORG/,67641,-149.44139,61.58414,3800 W MUSEUM DR
HST,KODIAK MILITARY HISTORY MUSEUM,KODIAK MILITARY HISTORY MUSEUM,1417 MILL BAY RD,AK,99615,9074867015,HTTP://WWW.KADIAK.ORG, ,-152.38722,57.79856,1417 MILL BAY RD
HST,KNIK MUSEUM,WASILLA-KNIK HISTORICAL SOCIETY,KNIK RD,AK,99654,9073762005, ,36901,-149.43945,61.58245,300 NORTH BOUNDARY STREET
HST,ALASKA HERITAGE MUSEUM,ALASKA AVIATION HERITAGE MUSEUM,301 W NORTHERN LIGHTS BLVD,AK,99503,9072652834, ,550236,-149.97254,61.17925,4721 AIRCRAFT DR
HST,ALASKA VETERANS MUSEUM,ALASKA VETERANS MUSEUM,334 W 4TH AVENUE 227,AK,99501,9076778802, ,0,-149.87855,61.21406,334 WEST 4TH AVENUE SUIT
ZAW,SITKA SOUND SCIENCE CENTER,SITKA SOUND SCIENCE CENTER,834 LINCOLN STREET SUITE 200,AK,99835,9077478878,HTTP://WWW.SITKASOUNDSCIENCECENTER.ORG,1923217,-135.32401,57.04983,834 LINCOLN STREET SUITE
CMU,CHILDREN'S MUSEUM OF ALASKA,CHILDRENS MUSEUM OF ALASKA,PO BOX 112772,AK,99511, , , ,-149.86107,61.11024,PO BOX 112772
ART,NEW YORK ALASKA HOUSE,NEW YORK ALASKA HOUSE INC,3806 N POINT CIR,AK,99502, , ,50,-149.94851,61.13325,3806 NORTH POINT CIR
CMU,FAIRBANKS CHILDREN'S MUSEUM,FAIRBANKS CHILDRENS MUSEUM,PO BOX 72477,AK,99707, , ,156377,-147.72078,64.84217,302 CUSHMAN STREET SUITE 101
BOT,JENSEN-OLSON ARBORETUM,FRIENDS OF JENSEN-OLSON ARBORETUM,23035 GLACIER HIGHWAY,AK,99801,9077890139,HTTP://WWW.FRIENDSJOARBORETUM.ORG/INDEX.HTML,0,-134.77955,58.48383,23035 GLACIER HIGHWAY
SCI,MARIE DRAKE PLANETARIUM,FRIENDS OF THE MARIE DRAKE PLANETARIUM,PO BOX 23042,AK,99802,9075002941,HTTP://MARIEDRAKEPLANETARIUM.ORG,0,-134.61082,58.36674,10014 CRAZY HORSE DR
HST,WHITTIER MUSEUM ASSOCIATION,WHITTIER MUSEUM ASSOCIATION,100 WHITTIER STREET,AK,99693, , ,0,-148.68,60.77,PO BOX 750
HST,ALASKA MINING HALL OF FAME FOUNDATION,ALASKA MINING HALL OF FAME FOUNDATION,PO BOX 81906,AK,99708, , ,31393,-147.82945,64.85079,PO BOX 81906
HST,HAMMER MUSEUM,HAMMER MUSEUM INC,PO BOX 702,AK,99827,9077662374,HTTP://WWW.HAMMERMUSEUM.ORG,0,-135.47365,59.24675,108 MAIN ST
ZAW,ALASKA ZOO,ALASKA ZOO,4731 OMALLEY RD,AK,99507,9073462133,HTTP://ALASKAZOO.ORG/,2393748,-149.79254,61.12476,4731 OMALLEY RD
HST,PIONEER MEMORIAL PARK,PIONEER MEMORIAL PARK INC,PO BOX 70176,AK,99707,9074591087,HTTP://WWW.CO.FAIRBANKS.AK.US/PIONEERPARK/,0,-147.76725,64.83685,2300 AIRPORT WAY
HST,ALASKA AVIATION HERITAGE MUSEUM,ALASKA AVIATION HERITAGE MUSEUM,4721 AIRCRAFT DR,AK,99502,9072485325,http://www.alaskaairmuseum.org/,550236,-149.97254,61.17925,4721 AIRCRAFT DR
HST,CLAUSEN MEMORIAL MUSEUM,CLAUSEN MEMORIAL MUSEUM,PO BOX 708,AK,99833,9077723598,HTTP://WWW.CLAUSENMUSEUM.NET,86045,-132.96963,56.80634,203 FRAM ST
BOT,ALASKA BOTANICAL GARDEN,ALASKA BOTANICAL GARDEN INC,4601 CAMPBELL AIRSTRIP RD,AK,99507,9077703692,HTTP://ALASKABG.ORG/,1323742,-149.76708,61.1689,4601 CAMPBELL AIRSTRIP R
ART,INTERNATIONAL GALLERY OF CONTEMPORARY ARTS,INTERNATIONAL GALLERY OF CONTEMPORARY ARTS INC,PO BOX 100239,AK,99510,9072791116, ,39227,-149.88931,61.21824,427 D ST
HST,SHELDON MUSEUM AND CULTURAL CENTER,SHELDON MUSEUM AND CULTURAL CENTER INC,PO BOX 269,AK,99827,9077662366,HTTP://WWW.SHELDONMUSEUM.ORG,323889,-135.47365,59.24675,11 MAIN STREET
HST,FAIRBANKS COMMUNITY MUSEUM,THE FAIRBANKS COMMUNITY MUSEUM,410 CUSHMAN STREET,AK,99701,9074573669,HTTP://FAIRBANKSHISTORYMUSEUM.COM/,0,-147.72457,64.84231,PO BOX 74389
ART,ANCHORAGE CLAY ARTS GUILD,ANCHORAGE CLAY ARTS GUILD,PO BOX 241151,AK,99524, , ,0,-149.89178,61.18495,NA
HST,VALDEZ MUSEUM AND HISTORICAL ARCHIVE ASSOCIATION,VALDEZ MUSEUM AND HISTORICAL ARCHIVE ASSOCIATION INCORPORAT,PO BOX 8,AK,99686,9078352764,HTTP://WWW.VALDEZMUSEUM.ORG/,645570,-146.21652,61.10482,217 EGAN DR
ART,KODIAK MARITIME MUSEUM AND ART CENTER,KODIAK MARITIME MUSEUM AND ART CENTER,PO BOX 1876,AK,99615,9074860384,HTTP://WWW.KODIAKMARITIMEMUSEUM.ORG,85352,-152.40165,57.79263,500 DOG BAY DRIVE
SCI,ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY,ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY INCOR,9711 KENAI SPUR HWY,AK,99611,9072832000,HTTP://WWW.AKCHALLENGER.ORG,729080,-151.21598,60.56149,9711 KENAI SPUR HWY
ZAW,OCEANSALASKA,OCEANSALASKA,PO BOX 6383,AK,99901,9072257900,HTTPS://BLUESTARROYSTERS.WORDPRESS.COM/,534898,-131.67274,55.35076,2417 TONGASS AVENUE
BOT,ALASKA WILDLIFE CONSERVATION CENTER,ALASKA WILDLIFE CONSERVATION CENTER INC,PO BOX 848,AK,99587,9072275764, ,2793744,-149.13368,60.96435,PO BOX 949
BOT,CENTER FOR ALASKAN COASTAL STUDIES,CENTER FOR ALASKAN COASTAL STUDIES,708 SMOKEY BAY WAY,AK,99603,9072356756,HTTP://WWW.AKCOASTALSTUDIES.ORG,908922,-151.52423,59.64585,708 SMOKEY BAY WAY
BOT,EAGLE RIVER NATURE CENTER,FRIENDS OF EAGLE RIVER NATURE CENTER INC,32750 EAGLE RIVER ROAD,AK,99508,9076942108,HTTP://WWW.ERNC.ORG,268677,-149.27332,61.23644,32750 EAGLE RIVER ROAD
ART,PRATT MUSEUM,PATRONS OF THE PRATT SOCIETY,3779 BARTLETT STREET,AK,99603,9072358635,HTTP://WWW.PRATTMUSEUM.ORG/,65544,-151.5504,59.6447,3779 BARTLETT STREET
ART,SUN CITIES ART MUSEUM,WEST VALLEY ART MUSEUM-SUN CITIES MUSEUM OF ART INC,17425 N 115TH AVENUE,AZ,85373, , ,65974,-112.24,33.60642,PO BOX 6377
ART,PHIPPEN ART MUSEUM,GEORGE PHIPPEN MEMORIAL FOUNDATION,4701 NORTH HWY 89,AZ,86301,9287781385,HTTP://WWW.PHIPPENARTMUSEUM.ORG,568341,-112.42997,34.47137,4701 ARIZONA 89
ZAW,PRESCOTT ANIMAL PARK,PRESCOTT ANIMAL PARK ASSOCIATION,1403 HERITAGE PARK ROAD,AZ,86301,9287784242,HTTP://WWW.HERITAGEPARKZOO.ORG,450155,-112.4455,34.61475,1403 HERITAGE PARK ROAD
HST,PIONEER ARIZONA LIVING HISTORY MUSEUM,PIONEER ARIZONA FOUNDATION,3901 WEST PIONEER ROAD,AZ,85027, , ,227512,-112.1443,33.81923,3901 W PIONEER RD
ZAW,INTERNATIONAL WILDLIFE MUSEUM,INTERNATIONAL WILDLIFE MUSEUM,4800 W GATES PASS RD,AZ,85745,5206290100,HTTP://WWW.THEWILDLIFEMUSEUM.ORG, ,-111.06681,32.23458,4800 W GATES PASS RD
HST,HOMOLOVI RUINS STATE PARK,HOMOLOVI RUINS STATE PARK,ARIZONA 87,AZ,86047,9282894106,HTTP://AZSTATEPARKS.COM, ,-110.70285,35.03033,ARIZONA 87
BOT,HERITAGE AND SCIENCE PARK,HERITAGE AND SCIENCE PARK,115 N 6TH ST,AZ,85004,6022625071,HTTP://HERITAGESQUAREPHX.ORG/, ,-112.06615,33.44954,115 N 6TH ST
ART,HALLE HEART CENTER MUSEUM,HALLE HEART CENTER MUSEUM,2929 S 48TH ST,AZ,85282,6024145353,HTTP://WWW.HEART.ORG/, ,-111.97755,33.3969,2929 S 48TH ST
NAT,COLOSSAL CAVE MOUNTAIN PARK,PIMA COUNTY PARKLANDS FOUNDATION,16721 E OLD SPANISH TRL,AZ,85641,5206477275,HTTP://COLOSSALCAVE.ORG/,33121,-110.78583,31.94611,16721 E OLD SPANISH TRL
ZAW,ARIZONA FOLKLORE PRESERVE,ARIZONA FOLKLORE PRESERVE INC,44 E RAMSEY CANYON RD,AZ,85615,5203786165,HTTP://WWW.ARIZONAFOLKLORE.COM,33375,-111.9792,33.59475,11811 N TATUM BLVD
HST,BUCKEYE MUSEUM,BUCKEYE VALLEY HISTORICAL & ARCHAEOLOGICAL MUSEUM,116 E US HIGHWAY 85,AZ,85326,6233496315, ,0,-112.55101,33.39445,116 MC 85
ART,CASA GRANDE ART MUSEUM,CASA GRANDE ART MUSEUM,319 W 3RD ST,AZ,85122,5208363377, , ,-111.75492,32.87885,319 W 3RD ST
SCI,ARIZONA MILITARY HERITAGE CENTER,ARIZONA AEROSPACE FOUNDATION INC,2245 CLEARWATER DR,AZ,86442,9287581088,HTTP://WWW.PIMAAIR.ORG,6244363,-110.85327,32.14063,6000 E VALENCIA RD
ZAW,PHOENIX HERPETOLOGICAL SOCIETY,PHOENIX HERPETOLOGICAL SOCIETY INC,20701 N SCOTTSDALE RD,AZ,85255, ,HTTP://WWW.PHOENIXHERP.COM,353795,-111.88119,33.67597,20701 N SCOTTSDALE RD SU
ART,UDINOTTI MUSEUM OF FIGURATIVE ART,UDINOTTI MUSEUM OF FIGURATIVE ART INC,6511 E MCDONALD DR,AZ,85253,4809467056, ,0,-111.94046,33.52232,6511 E MCDONALD DR
CMU,CHILDREN MUSEUM OF CHANDLER,CHILDREN MUSEUM OF CHANDLER,PO BOX 2906,AZ,85244,4809630262, , ,-111.83867,33.30463,PO BOX 2906
HST,SANTA CRUZ VALLEY HISTORIC MUSEUM,SANTA CRUZ VALLEY HISTORIC MUSEUM,PO BOX 20,AZ,85123, , ,0,-111.67693,32.74996,PO BOX 280
SCI,ARIZONA DEPARTMENT OF MINES & MINERAL RESOURCES,ARIZONA DEPARTMENT OF MINES & MINERAL RESOURCES,1502 W WASHINGTON ST,AZ,85007,6239352007,HTTP://WWW.ADMMR.STATE.AZ.US, ,-112.0916,33.44847,1502 W WASHINGTON ST
ART,MINI-TIME MACHINE,MINI-TIME MACHINE INC,4491 E FORT LOWELL RD,AZ,85712,5208810606, , ,-110.89506,32.26689,4491 E FORT LOWELL RD
ART,ZELMA BASHA SALMERI GALLERY OF WESTERN AMERICAN AND AMERICAN INDIAN ART,ZELMA BASHA SALMERI ART FOUNDATION,PO BOX 488,AZ,85244,4808955230, , ,-111.85834,33.24326,22402 S BASHA ROAD
HST,HIGH DESERT HERITAGE MUSEUM,HIGH DESERT HERITAGE MUSEUM INC,PO BOX 1168,AZ,86333,9286324633, ,0,-112.11654,34.3214,19600 STAGECOACH TRAIL
